t_one_based,source_time_label,internal_interval_end_label_convention,official_template_label,output_interval_label,template_row
61,10:10,10:00-10:10,10:10-10:20,10:00-10:10,62
62,10:20,10:10-10:20,10:20-10:30,10:10-10:20,63
63,10:30,10:20-10:30,10:30-10:40,10:20-10:30,64
64,10:40,10:30-10:40,10:40-10:50,10:30-10:40,65
65,10:50,10:40-10:50,10:50-11:00,10:40-10:50,66
66,11:00,10:50-11:00,11:00-11:10,10:50-11:00,67
67,11:10,11:00-11:10,11:10-11:20,11:00-11:10,68
68,11:20,11:10-11:20,11:20-11:30,11:10-11:20,69
69,11:30,11:20-11:30,11:30-11:40,11:20-11:30,70
70,11:40,11:30-11:40,11:40-11:50,11:30-11:40,71
71,11:50,11:40-11:50,11:50-12:00,11:40-11:50,72
72,12:00,11:50-12:00,12:00-12:10,11:50-12:00,73
73,12:10,12:00-12:10,12:10-12:20,12:00-12:10,74
74,12:20,12:10-12:20,12:20-12:30,12:10-12:20,75
75,12:30,12:20-12:30,12:30-12:40,12:20-12:30,76
76,12:40,12:30-12:40,12:40-12:50,12:30-12:40,77
77,12:50,12:40-12:50,12:50-13:00,12:40-12:50,78
78,13:00,12:50-13:00,13:00-13:10,12:50-13:00,79
79,13:10,13:00-13:10,13:10-13:20,13:00-13:10,80
80,13:20,13:10-13:20,13:20-13:30,13:10-13:20,81
81,13:30,13:20-13:30,13:30-13:40,13:20-13:30,82
82,13:40,13:30-13:40,13:40-13:50,13:30-13:40,83
83,13:50,13:40-13:50,13:50-14:00,13:40-13:50,84
84,14:00,13:50-14:00,14:00-14:10,13:50-14:00,85
85,14:10,14:00-14:10,14:10-14:20,14:00-14:10,86
86,14:20,14:10-14:20,14:20-14:30,14:10-14:20,87
87,14:30,14:20-14:30,14:30-14:40,14:20-14:30,88
88,14:40,14:30-14:40,14:40-14:50,14:30-14:40,89
89,14:50,14:40-14:50,14:50-15:00,14:40-14:50,90
90,15:00,14:50-15:00,15:00-15:10,14:50-15:00,91
91,15:10,15:00-15:10,15:10-15:20,15:00-15:10,92
92,15:20,15:10-15:20,15:20-15:30,15:10-15:20,93
93,15:30,15:20-15:30,15:30-15:40,15:20-15:30,94
94,15:40,15:30-15:40,15:40-15:50,15:30-15:40,95
95,15:50,15:40-15:50,15:50-16:00,15:40-15:50,96
96,16:00,15:50-16:00,16:00-16:10,15:50-16:00,97
97,16:10,16:00-16:10,16:10-16:20,16:00-16:10,98
98,16:20,16:10-16:20,16:20-16:30,16:10-16:20,99
99,16:30,16:20-16:30,16:30-16:40,16:20-16:30,100
100,16:40,16:30-16:40,16:40-16:50,16:30-16:40,101
101,16:50,16:40-16:50,16:50-17:00,16:40-16:50,102
102,17:00,16:50-17:00,17:00-17:10,16:50-17:00,103
103,17:10,17:00-17:10,17:10-17:20,17:00-17:10,104
104,17:20,17:10-17:20,17:20-17:30,17:10-17:20,105
105,17:30,17:20-17:30,17:30-17:40,17:20-17:30,106
106,17:40,17:30-17:40,17:40-17:50,17:30-17:40,107
107,17:50,17:40-17:50,17:50-18:00,17:40-17:50,108
108,18:00,17:50-18:00,18:00-18:10,17:50-18:00,109
109,18:10,18:00-18:10,18:10-18:20,18:00-18:10,110
110,18:20,18:10-18:20,18:20-18:30,18:10-18:20,111
111,18:30,18:20-18:30,18:30-18:40,18:20-18:30,112
112,18:40,18:30-18:40,18:40-18:50,18:30-18:40,113
113,18:50,18:40-18:50,18:50-19:00,18:40-18:50,114
114,19:00,18:50-19:00,19:00-19:10,18:50-19:00,115
115,19:10,19:00-19:10,19:10-19:20,19:00-19:10,116
116,19:20,19:10-19:20,19:20-19:30,19:10-19:20,117
117,19:30,19:20-19:30,19:30-19:40,19:20-19:30,118
118,19:40,19:30-19:40,19:40-19:50,19:30-19:40,119
119,19:50,19:40-19:50,19:50-20:00,19:40-19:50,120
120,20:00,19:50-20:00,20:00-20:10,19:50-20:00,121
121,20:10,20:00-20:10,20:10-20:20,20:00-20:10,122
122,20:20,20:10-20:20,20:20-20:30,20:10-20:20,123
123,20:30,20:20-20:30,20:30-20:40,20:20-20:30,124
124,20:40,20:30-20:40,20:40-20:50,20:30-20:40,125
125,20:50,20:40-20:50,20:50-21:00,20:40-20:50,126
126,21:00,20:50-21:00,21:00-21:10,20:50-21:00,127
127,21:10,21:00-21:10,21:10-21:20,21:00-21:10,128
128,21:20,21:10-21:20,21:20-21:30,21:10-21:20,129
129,21:30,21:20-21:30,21:30-21:40,21:20-21:30,130
130,21:40,21:30-21:40,21:40-21:50,21:30-21:40,131
131,21:50,21:40-21:50,21:50-22:00,21:40-21:50,132
132,22:00,21:50-22:00,22:00-22:10,21:50-22:00,133
133,22:10,22:00-22:10,22:10-22:20,22:00-22:10,134
134,22:20,22:10-22:20,22:20-22:30,22:10-22:20,135
135,22:30,22:20-22:30,22:30-22:40,22:20-22:30,136
136,22:40,22:30-22:40,22:40-22:50,22:30-22:40,137
137,22:50,22:40-22:50,22:50-23:00,22:40-22:50,138
138,23:00,22:50-23:00,23:00-23:10,22:50-23:00,139
139,23:10,23:00-23:10,23:10-23:20,23:00-23:10,140
140,23:20,23:10-23:20,23:20-23:30,23:10-23:20,141
141,23:30,23:20-23:30,23:30-23:40,23:20-23:30,142
142,23:40,23:30-23:40,23:40-23:50,23:30-23:40,143
143,23:50,23:40-23:50,23:50-0:00+1,23:40-23:50,144
144,0:00+1,23:50-24:00,0:00+1-0:10+1,23:50-24:00,145
