interval_index,source_time_label,official_template_label,price_yuan_per_kwh,net_load_kwh,planned_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,soc_dual_mu_yuan_per_kwh,storage_marginal_value_yuan_per_kwh,balance_dual_yuan_per_kwh,operating_state
17,02:50:00,2:50-3:00,0.4335,586.4253,586.4253,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4335,idle
18,03:00:00,3:00-3:10,0.4357,586.8496,586.8496,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4357,idle
19,03:10:00,3:10-3:20,0.4374,587.8210166666667,587.8210166666667,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4374,idle
20,03:20:00,3:20-3:30,0.4371,589.5475666666666,589.5475666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4371,idle
21,03:30:00,3:30-3:40,0.4356,590.8134666666666,590.8134666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4356,idle
22,03:40:00,3:40-3:50,0.4353,590.2131166666666,590.2131166666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4353,idle
23,03:50:00,3:50-4:00,0.436,591.0662666666666,591.0662666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.436,idle
24,04:00:00,4:00-4:10,0.4378,593.3678333333332,593.3678333333332,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4378,idle
25,04:10:00,4:10-4:20,0.4401,593.6596833333333,593.6596833333333,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4401,idle
26,04:20:00,4:20-4:30,0.4389,592.7863833333333,592.7863833333333,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4389,idle
27,04:30:00,4:30-4:40,0.4364,593.3378666666666,593.3378666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4364,idle
28,04:40:00,4:40-4:50,0.4393,596.6757666666666,596.6757666666666,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4393,idle
29,04:50:00,4:50-5:00,0.4422,597.78025,597.78025,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4422,idle
30,05:00:00,5:00-5:10,0.4395,595.1624999999999,595.1624999999999,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4395,idle
31,05:10:00,5:10-5:20,0.4333,590.6065,590.6065,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4333,idle
32,05:20:00,5:20-5:30,0.4439,589.4851833333333,589.4851833333333,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4439,idle
33,05:30:00,5:30-5:40,0.4301,578.4554499999999,578.4554499999999,0.0,0.0,10050.0,-0.47544444444444445,0.47544444444444445,0.4301,idle
34,05:40:00,5:40-5:50,0.3713,550.3264499999999,1383.659783333333,833.3333333333333,0.0,10800.0,-0.47544444444444445,0.47544444444444445,0.3713,charge
35,05:50:00,5:50-6:00,0.5708,591.1401999999999,591.1401999999999,0.0,0.0,10800.0,-0.51372,0.51372,0.5708,idle
36,06:00:00,6:00-6:10,0.9099,668.2538833333332,0.0,0.0,668.2538833333332,10057.495685185186,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
37,06:10:00,6:10-6:20,0.9368,655.4553333333333,0.0,0.0,655.4553333333333,9329.211981481481,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
38,06:20:00,6:20-6:30,0.8758,616.5040333333334,0.0,0.0,616.5040333333334,8644.2075,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
39,06:30:00,6:30-6:40,0.8759,591.4544833333334,0.0,0.0,591.4544833333334,7987.035851851852,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
40,06:40:00,6:40-6:50,0.8601,557.4868666666666,0.0,0.0,557.4868666666666,7367.606000000001,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
41,06:50:00,6:50-7:00,0.8442,529.2397,0.0,0.0,529.2397,6779.561888888889,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
42,07:00:00,7:00-7:10,0.8334,502.4707166666667,0.0,0.0,502.4707166666667,6221.261092592593,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
43,07:10:00,7:10-7:20,0.8092,455.4435666666667,0.0,0.0,455.4435666666667,5715.212685185185,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
44,07:20:00,7:20-7:30,0.7972,410.0667,0.0,0.0,410.0667,5259.583018518519,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
45,07:30:00,7:30-7:40,0.7644,356.99678333333327,0.0,0.0,356.99678333333327,4862.919925925926,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
46,07:40:00,7:40-7:50,0.6899,283.36356666666666,0.0010084786387746828,0.0,283.3625581880279,4548.07263905034,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
47,07:50:00,7:50-8:00,0.86,320.68411666666657,0.0,0.0,320.68411666666657,4191.756953865154,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
48,08:00:00,8:00-8:10,1.1617,418.42144999999994,0.0,0.0,418.42144999999994,3726.844231642932,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
49,08:10:00,8:10-8:20,1.1683,381.91078333333326,0.0,0.0,381.91078333333326,3302.498916828117,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
50,08:20:00,8:20-8:30,1.0956,309.55634999999995,0.0,0.0,309.55634999999995,2958.547416828117,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
51,08:30:00,8:30-8:40,1.0849,264.61940000000004,0.0,0.0,264.61940000000004,2664.5258612725615,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
52,08:40:00,8:40-8:50,1.061,213.74080000000004,0.0,0.0,213.74080000000004,2427.0360834947837,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
53,08:50:00,8:50-9:00,1.043,178.55891666666673,0.0,0.0,178.55891666666673,2228.6372871984872,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
54,09:00:00,9:00-9:10,1.036,155.39211666666677,0.0,0.0,155.39211666666677,2055.9793797910797,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
55,09:10:00,9:10-9:20,1.0147,112.25950000000012,0.0,0.0,112.25950000000012,1931.2466020133018,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
56,09:20:00,9:20-9:30,0.9922,64.3968666666666,0.0,0.0,64.3968666666666,1859.6945279392278,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
57,09:30:00,9:30-9:40,0.97,22.56224999999995,0.0,0.0,22.56224999999995,1834.6253612725611,-0.5316666666666666,0.5316666666666666,0.5907407407407407,discharge
58,09:40:00,9:40-9:50,0.9422,-17.42406666666659,0.0,17.42406666666659,0.0,1850.307021272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
59,09:50:00,9:50-10:00,0.9569,-52.83776666666654,0.0,52.83776666666654,0.0,1897.861011272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
60,10:00:00,10:00-10:10,0.9977,-84.56241666666665,0.0,84.56241666666665,0.0,1973.9671862725609,-0.5316666666666666,0.5316666666666666,0.4785,charge
61,10:10,10:10-10:20,0.9919,-116.9835833333334,0.0,116.9835833333334,0.0,2079.252411272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
62,10:20,10:20-10:30,0.9588,-146.66060000000004,0.0,146.66060000000004,0.0,2211.246951272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
63,10:30,10:30-10:40,0.9549,-173.52024999999992,0.0,173.52024999999992,0.0,2367.415176272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
64,10:40,10:40-10:50,0.9839,-201.02908333333323,0.0,201.02908333333323,0.0,2548.341351272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
65,10:50,10:50-11:00,0.799,-225.40611666666655,0.0,225.40611666666655,0.0,2751.206856272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
66,11:00,11:00-11:10,0.5025,-244.00925000000007,0.0,244.00925000000007,0.0,2970.815181272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
67,11:10,11:10-11:20,0.4662,-258.1624166666668,575.1709166666665,833.3333333333333,0.0,3720.815181272561,-0.5316666666666666,0.5316666666666666,0.4662,charge
68,11:20,11:20-11:30,0.5007,-272.6315333333332,0.0,272.6315333333332,0.0,3966.183561272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
69,11:30,11:30-11:40,0.4827,-284.3209833333333,0.0,284.3209833333333,0.0,4222.072446272561,-0.5316666666666666,0.5316666666666666,0.4785,charge
70,11:40,11:40-11:50,0.4785,-289.3014666666668,179.27592636382593,468.5773930304927,0.0,4643.792100000004,-0.5316666666666666,0.5316666666666666,0.4785,charge
71,11:50,11:50-12:00,0.4662,-313.20881666666673,520.1245166666665,833.3333333333333,0.0,5393.792100000004,-0.5316666666666666,0.5316666666666666,0.4662,charge
72,12:00,12:00-12:10,0.4432,-346.9304333333333,486.40289999999993,833.3333333333333,0.0,6143.792100000004,-0.5316666666666666,0.5316666666666666,0.4432,charge
73,12:10,12:10-12:20,0.4411,-352.92088333333334,480.4124499999999,833.3333333333333,0.0,6893.792100000004,-0.5316666666666666,0.5316666666666666,0.4411,charge
74,12:20,12:20-12:30,0.4551,-348.0333333333333,485.29999999999995,833.3333333333333,0.0,7643.792100000004,-0.5316666666666666,0.5316666666666666,0.4551,charge
75,12:30,12:30-12:40,0.4463,-344.72636666666665,488.6069666666666,833.3333333333333,0.0,8393.792100000004,-0.5316666666666666,0.5316666666666666,0.4463,charge
76,12:40,12:40-12:50,0.4113,-335.0626000000001,498.27073333333317,833.3333333333333,0.0,9143.792100000004,-0.5316666666666666,0.5316666666666666,0.4113,charge
77,12:50,12:50-13:00,0.5682,-304.5517666666665,0.0,304.5517666666665,0.0,9417.888690000003,-0.5316666666666666,0.5316666666666666,0.4785,charge
78,13:00,13:00-13:10,0.8279,-264.5071833333334,0.0,264.5071833333334,0.0,9655.945155000003,-0.5316666666666666,0.5316666666666666,0.4785,charge
79,13:10,13:10-13:20,0.8636,-242.50754999999992,0.0,242.50754999999992,0.0,9874.201950000002,-0.5316666666666666,0.5316666666666666,0.4785,charge
80,13:20,13:20-13:30,0.8416,-223.07558333333316,0.0,223.07558333333316,0.0,10074.969975000002,-0.5316666666666666,0.5316666666666666,0.4785,charge
81,13:30,13:30-13:40,0.8618,-198.75931666666656,0.0,198.75931666666656,0.0,10253.853360000001,-0.5316666666666666,0.5316666666666666,0.4785,charge
82,13:40,13:40-13:50,0.8623,-177.3598166666668,0.0,177.3598166666668,0.0,10413.477195000001,-0.5316666666666666,0.5316666666666666,0.4785,charge
83,13:50,13:50-14:00,0.9026,-151.74029999999982,0.0,151.74029999999982,0.0,10550.043465,-0.5316666666666666,0.5316666666666666,0.4785,charge
84,14:00,14:00-14:10,0.9754,-120.0350333333331,0.0,120.0350333333331,0.0,10658.074995,-0.5316666666666666,0.5316666666666666,0.4785,charge
85,14:10,14:10-14:20,1.0002,-87.81445000000008,0.0,87.81445000000008,0.0,10737.108,-0.5316666666666666,0.5316666666666666,0.4785,charge
86,14:20,14:20-14:30,0.9978,-53.62486666666655,0.0,53.62486666666655,0.0,10785.37038,-0.5316666666666666,0.5316666666666666,0.4785,charge
87,14:30,14:30-14:40,1.0271,-16.255133333333447,0.0,16.255133333333447,0.0,10800.0,-0.5316666666666666,0.5316666666666666,0.4785,charge
88,14:40,14:40-14:50,1.0906,23.781366666666713,0.0,0.0,23.781366666666713,10773.57625925926,-0.7333333333333334,0.7333333333333334,0.8148148148148149,discharge
89,14:50,14:50-15:00,0.9376,67.32001666666679,0.0,0.0,67.32001666666679,10698.77624074074,-0.7333333333333334,0.7333333333333334,0.8148148148148149,discharge
90,15:00,15:00-15:10,0.6694,112.0898666666667,112.0898666666667,0.0,0.0,10698.77624074074,-0.7333333333333334,0.7333333333333334,0.6694,idle
91,15:10,15:10-15:20,0.66,154.26184999999998,266.73269362139905,112.47084362139907,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.66,charge
92,15:20,15:20-15:30,0.7217,197.52351666666664,197.52351666666664,0.0,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.7217,idle
93,15:30,15:30-15:40,0.7308,244.8140333333332,244.8140333333332,0.0,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.7308,idle
94,15:40,15:40-15:50,0.7534,295.5346166666667,295.5346166666667,0.0,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.7534,idle
95,15:50,15:50-16:00,0.7823,345.77750000000015,345.77750000000015,0.0,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.7823,idle
96,16:00,16:00-16:10,0.8055,394.9314833333333,394.9314833333333,0.0,0.0,10800.0,-0.7333333333333334,0.7333333333333334,0.8055,idle
97,16:10,16:10-16:20,0.8271,445.4316500000001,445.4316500000001,0.0,0.0,10800.0,-0.81216,0.81216,0.8271,idle
98,16:20,16:20-16:30,0.8519,495.69658333333325,495.69658333333325,0.0,0.0,10800.0,-0.81216,0.81216,0.8519,idle
99,16:30,16:30-16:40,0.8791,547.11905,547.11905,0.0,0.0,10800.0,-0.81216,0.81216,0.8791,idle
100,16:40,16:40-16:50,0.9024,599.9854333333333,599.9854333333333,0.0,0.0,10800.0,-0.81216,0.81216,0.9024,idle
101,16:50,16:50-17:00,0.9163,635.4297499999999,635.4297499999999,0.0,-0.0,10800.0,-0.82467,0.82467,0.9163,idle
102,17:00,17:00-17:10,0.9264,660.8306833333334,660.8306833333334,0.0,-0.0,10800.0,-0.83376,0.83376,0.9264,idle
103,17:10,17:10-17:20,0.9462,702.0369333333333,702.0369333333333,0.0,-0.0,10800.0,-0.85158,0.85158,0.9462,idle
104,17:20,17:20-17:30,0.9742,738.0657833333333,738.0657833333333,0.0,-0.0,10800.0,-0.8767799999999999,0.8767799999999999,0.9742,idle
105,17:30,17:30-17:40,0.9862,775.9447166666666,775.9447166666666,0.0,-0.0,10800.0,-0.8875799999999999,0.8875799999999999,0.9862,idle
106,17:40,17:40-17:50,0.976,826.08325,826.08325,0.0,0.0,10800.0,-0.8875799999999999,0.8875799999999999,0.976,idle
107,17:50,17:50-18:00,1.0742,762.4227999999999,762.4227999999999,0.0,0.0,10800.0,-0.96678,0.96678,1.0742,idle
108,18:00,18:00-18:10,1.2313,636.9826166666667,636.9826166666667,0.0,-0.0,10800.0,-1.10817,1.10817,1.2313,idle
109,18:10,18:10-18:20,1.2561,641.1612999999999,531.8940499999999,0.0,109.26725000000005,10678.591944444444,-1.13049,1.13049,1.2561,discharge
110,18:20,18:20-18:30,1.2447,678.8305333333333,678.8305333333333,0.0,0.0,10678.591944444444,-1.13049,1.13049,1.2447,idle
111,18:30,18:30-18:40,1.2545,686.2684999999999,686.2684999999999,0.0,0.0,10678.591944444444,-1.13049,1.13049,1.2545,idle
112,18:40,18:40-18:50,1.2522,696.5043833333333,696.5043833333333,0.0,0.0,10678.591944444444,-1.13049,1.13049,1.2522,idle
113,18:50,18:50-19:00,1.2881,704.6342666666666,0.0,0.0,704.6342666666666,9895.664981481481,-1.13049,1.13049,1.2561,discharge
114,19:00,19:00-19:10,1.3466,706.4840333333333,0.0,0.0,706.4840333333333,9110.682722222222,-1.13049,1.13049,1.2561,discharge
115,19:10,19:10-19:20,1.3523,707.4064666666666,0.0,0.0,707.4064666666666,8324.675537037037,-1.13049,1.13049,1.2561,discharge
116,19:20,19:20-19:30,1.3445,708.553,0.0,0.0,708.553,7537.394425925927,-1.13049,1.13049,1.2561,discharge
117,19:30,19:30-19:40,1.3483,709.4468833333333,0.0,0.0,709.4468833333333,6749.120111111112,-1.13049,1.13049,1.2561,discharge
118,19:40,19:40-19:50,1.349,711.23245,0.0,0.0,711.23245,5958.861833333334,-1.13049,1.13049,1.2561,discharge
119,19:50,19:50-20:00,1.3473,711.6625,0.0,0.0,711.6625,5168.125722222223,-1.13049,1.13049,1.2561,discharge
120,20:00,20:00-20:10,1.3482,711.4450333333332,0.0,0.0,711.4450333333332,4377.631240740741,-1.13049,1.13049,1.2561,discharge
121,20:10,20:10-20:20,1.3513,713.7040833333333,0.0,0.0,713.7040833333333,3584.626703703704,-1.13049,1.13049,1.2561,discharge
122,20:20,20:20-20:30,1.34,715.28415,0.0,0.0,715.28415,2789.8665370370372,-1.13049,1.13049,1.2561,discharge
123,20:30,20:30-20:40,1.3489,715.22685,0.0,0.0,715.22685,1995.170037037037,-1.13049,1.13049,1.2561,discharge
124,20:40,20:40-20:50,1.3952,715.6530333333333,0.0,0.0,715.6530333333333,1200.0,-1.13049,1.13049,1.2561,discharge
125,20:50,20:50-21:00,1.2226,715.8689166666666,715.8689166666666,0.0,-0.0,1200.0,-1.1003399999999999,1.1003399999999999,1.2226,idle
126,21:00,21:00-21:10,0.9332,717.0051166666667,717.0051166666667,0.0,0.0,1200.0,-0.8883899999999999,0.8883899999999999,0.9332,idle
127,21:10,21:10-21:20,0.9068,720.1603,720.1603,0.0,0.0,1200.0,-0.8883899999999999,0.8883899999999999,0.9068,idle
128,21:20,21:20-21:30,0.9371,717.0548666666666,717.0548666666666,0.0,0.0,1200.0,-0.8883899999999999,0.8883899999999999,0.9371,idle
129,21:30,21:30-21:40,0.9371,720.4459666666667,720.4459666666667,0.0,0.0,1200.0,-0.8883899999999999,0.8883899999999999,0.9371,idle
130,21:40,21:40-21:50,0.9871,738.1347166666666,738.1347166666666,0.0,-0.0,1200.0,-0.8883899999999999,0.8883899999999999,0.9871,idle
131,21:50,21:50-22:00,0.7764,671.6935666666666,671.6935666666666,0.0,-0.0,1200.0,-0.6987599999999999,0.6987599999999999,0.7764,idle
132,22:00,22:00-22:10,0.4209,560.4569833333333,1393.7903166666665,833.3333333333333,0.0,1950.0,-0.4711111111111111,0.4711111111111111,0.4209,charge
133,22:10,22:10-22:20,0.3859,551.5655666666667,1384.8989,833.3333333333333,0.0,2700.0,-0.4711111111111111,0.4711111111111111,0.3859,charge
134,22:20,22:20-22:30,0.4368,568.8260499999999,568.8260499999999,0.0,0.0,2700.0,-0.4711111111111111,0.4711111111111111,0.4368,idle
135,22:30,22:30-22:40,0.4198,563.6552166666667,1396.98855,833.3333333333333,0.0,3450.0,-0.4711111111111111,0.4711111111111111,0.4198,charge
136,22:40,22:40-22:50,0.4186,564.4265333333333,1397.7598666666665,833.3333333333333,0.0,4200.0,-0.4711111111111111,0.4711111111111111,0.4186,charge
137,22:50,22:50-23:00,0.4241,566.7474333333332,566.7474333333332,0.0,0.0,4200.0,-0.4711111111111111,0.4711111111111111,0.4241,idle
138,23:00,23:00-23:10,0.4237,566.5404333333333,1399.8737666666666,833.3333333333333,0.0,4950.0,-0.4711111111111111,0.4711111111111111,0.4237,charge
139,23:10,23:10-23:20,0.4248,567.83015,567.83015,0.0,0.0,4950.0,-0.4711111111111111,0.4711111111111111,0.4248,idle
140,23:20,23:20-23:30,0.424,569.3586333333333,569.3586333333333,0.0,0.0,4950.0,-0.4711111111111111,0.4711111111111111,0.424,idle
141,23:30,23:30-23:40,0.422,570.3301833333333,1403.6635166666665,833.3333333333333,0.0,5700.0,-0.4711111111111111,0.4711111111111111,0.422,charge
142,23:40,23:40-23:50,0.424,571.6153833333333,904.9487166666667,333.3333333333333,0.0,6000.0,-0.4711111111111111,0.4711111111111111,0.424,charge
143,23:50,23:50-0:00+1,0.4271,573.1768333333333,573.1768333333333,0.0,0.0,6000.0,-0.4711111111111111,0.4711111111111111,0.4271,idle
144,0:00+1,0:00+1-0:10+1,0.4276,574.1209833333332,574.1209833333332,0.0,0.0,6000.0,-0.4711111111111111,0.4711111111111111,0.4276,idle
